Index	X	Acquisition
491	9.11241082817603	32
492	9.1413720011915	38
493	9.17033457878174	40
494	9.19929856537398	32
495	9.22826396539544	34
496	9.25723078327336	37
497	9.28619902343495	40
498	9.31516869030744	40
499	9.34413978831807	38
500	9.37311232189405	36
501	9.40208629546262	24
502	9.43106171345101	44
503	9.46003858028643	42
504	9.48901690039612	29
505	9.5179966782073	33
506	9.5469779181472	44
507	9.57596062464305	41
508	9.60494480212208	31
509	9.6339304550115	32
510	9.66291758773855	36
511	9.69190620473046	24
512	9.72089631041445	36
513	9.74988790921775	42
514	9.77888100556759	30
515	9.80787560389119	28
516	9.83687170861578	35
517	9.86586932416858	40
518	9.89486845497683	34
519	9.92386910546776	31
520	9.95287128006857	37
521	9.98187498320652	32
522	10.0108802193088	30
523	10.0398869928027	39
524	10.0688953081154	43
525	10.0979051696741	32
526	10.1269165819061	34
527	10.1559295492385	28
528	10.1849440760987	40
529	10.2139601669138	28
530	10.2429778261111	32
531	10.2719970581178	34
532	10.3010178673611	38
533	10.3300402582682	38
534	10.3590642352664	28
535	10.388089802783	25
536	10.417116965245	32
537	10.4461457270798	27
538	10.4751760927146	34
539	10.5042080665766	31
540	10.5332416530931	31
541	10.5622768566912	34
542	10.5913136817982	30
543	10.6203521328413	30
544	10.6493922142478	39
545	10.6784339304448	28
546	10.7074772858596	33
547	10.7365222849195	32
548	10.7655689320516	29
549	10.7946172316832	29
550	10.8236671882415	25
551	10.8527188061537	34
552	10.8817720898471	29
553	10.9108270437489	32
554	10.9398836722863	35
555	10.9689419798866	35
556	10.9980019709769	32
557	11.0270636499845	45
558	11.0561270213366	51
559	11.0851920894605	27
560	11.1142588587834	42
561	11.1433273337324	31
562	11.1723975187349	33
563	11.2014694182181	29
564	11.2305430366091	34
565	11.2596183783352	40
566	11.2886954478237	39
567	11.3177742495018	32
568	11.3468547877966	33
569	11.3759370671355	36
570	11.4050210919456	27
571	11.4341068666542	30
572	11.4631943956885	35
573	11.4922836834757	33
574	11.5213747344431	36
575	11.5504675530178	35
576	11.5795621436272	30
577	11.6086585106984	35
578	11.6377566586586	37
579	11.6668565919352	36
580	11.6959583149552	24
581	11.725061832146	31
582	11.7541671479348	37
583	11.7832742667488	23
584	11.8123831930152	42
585	11.8414939311612	32
586	11.8706064856142	39
587	11.8997208608012	31
588	11.9288370611496	29
589	11.9579550910865	30
590	11.9870749550392	30
591	12.0161966574349	34
592	12.0453202027009	38
593	12.0744455952643	33
594	12.1035728395525	33
595	12.1327019399925	35
596	12.1618329010117	30
597	12.1909657270373	29
598	12.2201004224965	61
599	12.2492369918165	30
600	12.2783754394245	36
601	12.3075157697479	38
602	12.3366579872137	34
603	12.3658020962493	26
604	12.3949481012818	27
605	12.4240960067386	39
606	12.4532458170467	39
607	12.4823975366336	43
608	12.5115511699262	34
609	12.540706721352	41
610	12.5698641953381	36
611	12.5990235963118	40
612	12.6281849287002	35
613	12.6573481969306	30
614	12.6865134054303	35
615	12.7156805586265	34
616	12.7448496609463	26
617	12.774020716817	34
618	12.8031937306659	31
619	12.8323687069201	35
620	12.861545650007	34
621	12.8907245643537	39
622	12.9199054543874	38
623	12.9490883245354	36
624	12.9782731792249	30
625	13.0074600228831	27
626	13.0366488599373	19
627	13.0658396948146	31
628	13.0950325319424	40
629	13.1242273757478	19
630	13.1534242306581	27
631	13.1826231011005	23
632	13.2118239915022	28
633	13.2410269062904	35
634	13.2702318498924	42
635	13.2994388267354	48
636	13.3286478412467	38
637	13.3578588978534	41
638	13.3870720009828	33
639	13.416287155062	37
640	13.4455043645185	46
641	13.4747236337792	37
642	13.5039449672716	32
643	13.5331683694228	50
644	13.56239384466	36
645	13.5916213974105	27
646	13.6208510321015	34
647	13.6500827531602	24
648	13.6793165650139	43
649	13.7085524720898	32
650	13.737790478815	36
651	13.7670305896169	28
652	13.7962728089226	44
653	13.8255171411595	37
654	13.8547635907546	43
655	13.8840121621353	41
656	13.9132628597288	37
657	13.9425156879622	40
658	13.9717706512629	31
659	14.001027754058	47
660	14.0302870007748	32
661	14.0595483958404	39
662	14.0888119436823	39
663	14.1180776487274	34
664	14.1473455154032	35
665	14.1766155481367	34
666	14.2058877513553	37
667	14.2351621294862	45
668	14.2644386869566	34
669	14.2937174281936	48
670	14.3229983576246	35
671	14.3522814796768	43
672	14.3815667987774	39
673	14.4108543193536	33
674	14.4401440458327	35
675	14.4694359826418	40
676	14.4987301342083	40
677	14.5280265049593	45
678	14.557325099322	36
679	14.5866259217237	44
680	14.6159289765917	42
681	14.645234268353	37
682	14.6745418014351	38
683	14.703851580265	37
684	14.7331636092701	38
